codigo,nome,telefone
654727,Sr.,02175905111
957089,Sr.,02148135338
863954,Manuela,55134405029
968292,Alícia,4188402762
250094,Srta.,8129039232
601021,Augusto,09004696355
511824,Noah,56173230885
597011,Paulo,54199506817
140294,Isadora,8492304945
346264,Luiza,07153879901
920469,Isadora,01174358956
318172,Ana,6114521933
234080,Isabel,07186428070
638745,Renan,04154823023
855878,Guilherme,05107278962
806001,Amanda,04123650489
786337,Thales,5175074531
431349,João,05004517802
106951,Lavínia,01141221484
110852,Luiz,06184082702
804456,Breno,08192736761
152736,Cauê,05179094075
388273,Bryan,1159953032
561184,Vitor,1192598516
351817,Cauã,1159316671
783832,Dr.,54137086517
457255,Ana,01190366067
688506,Bárbara,08134870119
780095,Sabrina,09006240796
999046,Marina,55193788594
856484,Srta.,3129587303
874894,Sr.,1192753222
555913,Rodrigo,53100549625
725105,Cauê,02188052946
265257,Melissa,04139869408
112588,Bárbara,06155437086
683471,Esther,04110659108
245209,Pedro,5101259846
146575,Emanuella,08111255016
607714,Diogo,4167363379
618012,Nicolas,01148142870
785593,Bárbara,03141860112
586007,Diego,8464692503
320004,Stephany,02134852589
636295,Sr.,02108676743
343217,Ana,05114418632
919066,Ana,02180022458
423735,João,08007138550
568364,Emilly,1146424433
551566,Ana,7196139647
575636,Maria,52198439572
704943,Luiz,08003827665
747588,Theo,03167652938
579130,Lorenzo,54148347483
848031,Ana,7110743708
807962,Paulo,08174284057
204694,Ryan,08007147993
590083,Maria,54194434099
893444,Natália,51126212229
730512,Bárbara,05161245807
646687,Ana,51164150003
867685,Luiz,4147918656
930094,Sra.,8122385290
447674,Melissa,8171571935
376174,Sophie,06162043006
587527,Srta.,02128145995
144068,Srta.,08158524772
228546,Dr.,02146300238
140485,Luana,08498207674
214501,Raquel,02191121576
431379,Maysa,03162457148
412943,Melissa,58466785520
484884,Laís,01184765792
905302,Maria,58144622123
246824,Valentina,7133812665
314451,Dr.,58114633460
280491,Mariana,08432483286
975637,Cauã,03180725879
672568,Sra.,03001138078
481575,Isabel,54144639950
785194,Vitória,04177579029
207232,Dr.,5195814600
392076,João,08112113315
594598,Thiago,07180018204
